Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-231_210709_concat_cluster5506,increase,broad
SUBJ-ID-231_210709_concat_cluster5965,decrease,broad
SUBJ-ID-231_210709_concat_cluster6423,increase,broad
SUBJ-ID-231_210709_concat_cluster6534,increase,narrow
SUBJ-ID-231_210709_concat_cluster6559,increase,broad
SUBJ-ID-231_210709_concat_cluster6629,increase,broad
SUBJ-ID-231_210709_concat_cluster6630,increase,broad
SUBJ-ID-231_210709_concat_cluster6632,decrease,broad
SUBJ-ID-231_210710_concat_cluster1117,increase,broad
SUBJ-ID-231_210710_concat_cluster1191,none,narrow
SUBJ-ID-231_210710_concat_cluster1195,decrease,broad
SUBJ-ID-231_210710_concat_cluster1197,increase,broad
SUBJ-ID-231_210710_concat_cluster1199,increase,narrow
SUBJ-ID-231_210710_concat_cluster1202,decrease,broad
SUBJ-ID-231_210710_concat_cluster1263,increase,broad
SUBJ-ID-231_210710_concat_cluster1266,none,broad
SUBJ-ID-231_210710_concat_cluster1319,increase,broad
SUBJ-ID-231_210710_concat_cluster1320,increase,narrow
SUBJ-ID-231_210710_concat_cluster1540,increase,broad
SUBJ-ID-231_210710_concat_cluster1541,increase,broad
SUBJ-ID-231_210712_concat_cluster1025,none,broad
SUBJ-ID-231_210712_concat_cluster1031,increase,narrow
SUBJ-ID-231_210712_concat_cluster1134,decrease,broad
SUBJ-ID-231_210712_concat_cluster1135,none,broad
SUBJ-ID-231_210712_concat_cluster1140,increase,broad
SUBJ-ID-231_210712_concat_cluster1154,increase,broad
SUBJ-ID-231_210712_concat_cluster1167,increase,broad
SUBJ-ID-231_210712_concat_cluster873,increase,narrow
SUBJ-ID-231_210712_concat_cluster897,none,broad
SUBJ-ID-231_210712_concat_cluster978,decrease,broad
SUBJ-ID-231_210712_concat_cluster980,increase,narrow
SUBJ-ID-231_210713_concat_cluster1240,decrease,broad
SUBJ-ID-231_210713_concat_cluster1250,none,broad
SUBJ-ID-231_210713_concat_cluster1251,none,broad
SUBJ-ID-231_210713_concat_cluster1737,increase,narrow
SUBJ-ID-231_210713_concat_cluster1813,decrease,broad
SUBJ-ID-231_210713_concat_cluster1815,increase,narrow
SUBJ-ID-231_210713_concat_cluster1819,increase,broad
SUBJ-ID-231_210715_concat_cluster595,decrease,broad
SUBJ-ID-231_210715_concat_cluster703,increase,broad
SUBJ-ID-231_210715_concat_cluster707,none,broad
SUBJ-ID-231_210715_concat_cluster722,increase,broad
SUBJ-ID-231_210715_concat_cluster724,increase,narrow
SUBJ-ID-231_210717_concat_cluster647,increase,broad
SUBJ-ID-231_210717_concat_cluster651,decrease,broad
SUBJ-ID-231_210717_concat_cluster652,none,broad
SUBJ-ID-389_220624_concat_cluster3327,increase,broad
SUBJ-ID-389_220624_concat_cluster3328,none,broad
SUBJ-ID-389_220624_concat_cluster3329,none,broad
SUBJ-ID-389_220624_concat_cluster3635,increase,broad
SUBJ-ID-389_220624_concat_cluster3639,none,broad
SUBJ-ID-389_220624_concat_cluster4163,decrease,broad
SUBJ-ID-389_220624_concat_cluster4177,increase,broad
SUBJ-ID-389_220624_concat_cluster4178,none,broad
SUBJ-ID-389_220624_concat_cluster4185,decrease,broad
SUBJ-ID-389_220624_concat_cluster4190,none,broad
SUBJ-ID-389_220624_concat_cluster4192,decrease,broad
SUBJ-ID-389_220624_concat_cluster4293,decrease,broad
SUBJ-ID-389_220624_concat_cluster4379,increase,broad
SUBJ-ID-389_220624_concat_cluster4383,decrease,broad
SUBJ-ID-389_220625_concat_cluster1889,none,broad
SUBJ-ID-389_220625_concat_cluster1891,increase,broad
SUBJ-ID-389_220625_concat_cluster1896,decrease,broad
SUBJ-ID-389_220625_concat_cluster1917,increase,broad
SUBJ-ID-389_220625_concat_cluster1937,none,broad
SUBJ-ID-389_220625_concat_cluster2395,decrease,broad
SUBJ-ID-389_220625_concat_cluster2397,decrease,broad
SUBJ-ID-389_220625_concat_cluster2411,none,broad
SUBJ-ID-389_220625_concat_cluster2412,none,broad
SUBJ-ID-389_220625_concat_cluster2450,decrease,broad
SUBJ-ID-389_220625_concat_cluster2478,decrease,broad
SUBJ-ID-389_220625_concat_cluster2511,decrease,broad
SUBJ-ID-389_220625_concat_cluster2513,decrease,broad
SUBJ-ID-389_220627_concat_cluster3139,none,broad
SUBJ-ID-389_220627_concat_cluster3141,decrease,broad
SUBJ-ID-389_220627_concat_cluster3145,decrease,broad
SUBJ-ID-389_220627_concat_cluster3153,decrease,narrow
SUBJ-ID-389_220627_concat_cluster3157,none,broad
SUBJ-ID-389_220627_concat_cluster3167,none,broad
SUBJ-ID-389_220627_concat_cluster3187,decrease,broad
SUBJ-ID-389_220627_concat_cluster3263,decrease,broad
SUBJ-ID-389_220627_concat_cluster3264,decrease,broad
SUBJ-ID-389_220627_concat_cluster3288,decrease,broad
SUBJ-ID-389_220627_concat_cluster3309,none,broad
SUBJ-ID-389_220627_concat_cluster3693,none,broad
SUBJ-ID-389_220627_concat_cluster3694,decrease,broad
SUBJ-ID-389_220627_concat_cluster3699,decrease,broad
SUBJ-ID-389_220627_concat_cluster3749,decrease,broad
SUBJ-ID-389_220627_concat_cluster3790,decrease,broad
SUBJ-ID-389_220627_concat_cluster3834,none,broad
SUBJ-ID-389_220628_concat_cluster1799,none,broad
SUBJ-ID-389_220628_concat_cluster1800,none,broad
SUBJ-ID-389_220628_concat_cluster1811,decrease,broad
SUBJ-ID-389_220628_concat_cluster1823,decrease,broad
SUBJ-ID-389_220628_concat_cluster1870,none,broad
SUBJ-ID-389_220628_concat_cluster1896,none,broad
SUBJ-ID-389_220628_concat_cluster2309,decrease,broad
SUBJ-ID-389_220628_concat_cluster2310,decrease,broad
SUBJ-ID-389_220628_concat_cluster2428,increase,broad
SUBJ-ID-389_220628_concat_cluster2429,increase,broad
SUBJ-ID-389_220628_concat_cluster2430,decrease,broad
SUBJ-ID-389_220628_concat_cluster2447,increase,broad
SUBJ-ID-389_220628_concat_cluster2516,increase,broad
SUBJ-ID-389_220630_concat_cluster2034,increase,broad
SUBJ-ID-389_220630_concat_cluster2054,increase,broad
SUBJ-ID-389_220630_concat_cluster2055,none,broad
SUBJ-ID-389_220630_concat_cluster2103,decrease,broad
SUBJ-ID-389_220630_concat_cluster2581,decrease,broad
SUBJ-ID-389_220630_concat_cluster2586,decrease,broad
SUBJ-ID-389_220630_concat_cluster2685,none,broad
SUBJ-ID-389_220630_concat_cluster2690,decrease,broad
SUBJ-ID-389_220630_concat_cluster2702,decrease,broad
SUBJ-ID-389_220630_concat_cluster2732,decrease,broad
SUBJ-ID-389_220630_concat_cluster2735,decrease,broad
